name,common,ra_deg,dec_deg,major_arcmin,type,minor_arcmin,pos_angle,messier
IC0272,,44.026833,-14.186639,0.96,G,0.67,30,
IC0273,,44.294917,2.775056,1.49,G,0.46,32,
IC0274,,45.021792,44.213167,,Other,,,
IC0275,,45.238750,44.348333,1.00,GTrpl,,,
IC0275 NED01,,45.232792,44.346306,0.32,G,0.23,16,
IC0275 NED02,,45.232917,44.350361,1.38,G,1.20,25,
IC0275 NED03,,45.244458,44.350167,0.30,G,0.30,0,
IC0276,,44.671083,-15.703111,1.67,G,0.61,62,
IC0277,,44.960833,2.771361,1.00,G,0.89,44,
IC0278,,45.376833,37.766000,2.17,G,2.17,125,
IC0279,,45.300875,16.209222,0.54,G,0.45,166,
IC0280,,45.765042,42.359306,,Other,,,
IC0283,,45.960250,-0.204444,0.71,G,0.54,5,
IC0284,,46.541292,42.371917,4.29,G,2.15,14,
IC0285,,46.025917,-12.015444,1.45,G,0.36,117,
IC0286,,46.196750,-6.484528,,Other,,,
IC0287,,46.240917,-12.070444,0.81,G,0.59,9,
IC0288,,46.887125,42.387556,1.01,G,0.28,41,
IC0289,,47.580250,61.316778,0.58,PN,,,
IC0290,,47.428083,40.974222,1.24,G,0.32,129,
IC0291,,46.860208,-12.587444,1.19,G,0.52,91,
IC0292,,47.553833,40.765667,1.19,G,0.65,73,
IC0293,,47.734000,41.137111,1.05,G,0.76,108,
IC0294,,47.762958,40.622111,1.49,G,1.17,106,
IC0295,,47.753083,40.615250,,Other,,,
IC0296,,47.769875,40.626861,,Other,,,
IC0297,,48.326583,42.148778,,**,,,
IC0298,,47.828750,1.314722,0.80,GPair,,,
IC0298A,,47.827083,1.315028,0.54,G,0.34,35,
IC0298B,,47.831375,1.313389,0.43,G,0.33,5,
IC0299,,47.760625,-13.109583,0.87,G,0.68,30,
IC0300,,48.566750,42.415333,0.65,G,0.60,115,
IC0301,,48.698792,42.222639,1.26,G,1.11,177,
IC0302,,48.213625,4.707028,1.84,G,1.20,22,
IC0303,,48.170292,-11.689944,0.59,G,0.46,47,
IC0304,,48.755708,37.881833,1.06,G,0.65,29,
IC0305,,48.765833,37.860000,0.79,G,0.64,74,
IC0306,,48.250875,-11.715694,0.71,G,0.58,79,
IC0307,,48.438375,-0.241444,1.60,G,0.60,67,
IC0308,,49.065958,41.180750,1.16,G,0.93,4,
IC0309,,49.026208,40.804556,1.02,G,0.95,30,
IC0310,,49.179083,41.324972,1.50,G,1.42,25,
IC0311,,49.194708,40.003611,1.00,G,1.00,100,
IC0312,,49.535875,41.754111,1.19,G,0.57,125,
IC0313,,50.241250,41.893833,1.26,G,0.87,42,
IC0315,,49.788917,4.038556,0.68,G,0.33,45,
IC0316,,50.332917,41.930556,0.80,GPair,,,
IC0316 NED01,,50.333125,41.928944,0.45,G,0.17,116,
IC0316 NED02,,50.332917,41.931917,1.06,G,0.79,64,
IC0317,,49.731292,-12.740194,0.88,G,0.71,58,
IC0318,,50.182625,-14.568222,1.08,G,0.45,134,
IC0319,,50.871042,41.416361,,*,,,
IC0320,,51.496583,40.789028,1.12,G,0.91,99,
IC0321,,51.123292,-14.985472,1.03,G,0.95,25,
IC0322,,51.501958,3.680556,0.76,G,0.38,6,
IC0323,,52.389792,41.855083,,Other,,,
IC0325,,52.703583,-7.046722,0.83,G,0.74,80,
IC0326,,52.652542,-14.425556,1.13,G,0.84,101,
IC0327,,52.791583,-14.692139,0.80,G,0.47,70,
IC0328,,52.795625,-14.637861,0.67,G,0.48,16,
IC0329,,53.005708,0.279444,1.00,G,0.48,63,
IC0330,,53.033458,0.353389,1.02,G,0.32,73,
IC0331,,53.079500,0.282556,0.91,G,0.91,105,
IC0332,,53.155917,1.382556,0.97,G,0.50,44,
IC0333,,53.514083,-4.584889,,Other,,,
IC0334,,56.321167,76.638306,2.34,G,1.85,58,
IC0335,,53.879333,-34.447056,2.62,G,0.80,83,
IC0336,,54.487667,23.363139,,Neb,,,
IC0337,,54.267917,-6.721194,,Other,,,
IC0338,,54.408750,3.118778,0.84,G,0.68,176,
IC0339,,54.509292,-18.397778,,*,,,
IC0340,,54.871292,-13.115111,1.61,G,0.58,90,
IC0341,,55.232042,21.960194,134.90,Neb,,,
